callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
WSMY,day_0.5,0.2227716549532488,WSMY_0.5_D_as3.kml,36.4119444444444,-77.6183333333333,1400.0,1.0,Southeast,NC,WELDON,"BYRNE ACQUISITION GROUP, LLC"
WHIC,night_2,0.38813102385029197,WHIC_2_N_as1.kml,43.0830555555556,-77.6477777777778,1460.0,5.0,Northeast,NY,ROCHESTER,Holy Family Communications
WUFF,day_0.5,2.5504425845574588,WUFF_0.5_D_as1.kml,32.2218333333333,-83.2176666666667,710.0,2.5,Southeast,GA,EASTMAN,"DODGE BROADCASTING, INC."
WYNF,day_2,0.059552443446591496,WYNF_2_D_as1.kml,33.4936111111111,-81.9977777777778,1340.0,1.0,Southeast,GA,AUGUSTA,"IHM LICENSES, LLC"
KMAJ,day_0.5,3.8322410888504237,KMAJ_0.5_D_as1.kml,39.0186111111111,-95.5730277777778,1440.0,5.0,Plains,KS,TOPEKA,CUMULUS LICENSING LLC
KMMS,day_0.5,0.43174252891913056,KMMS_0.5_D_as1.kml,45.6982777777778,-111.028833333333,1450.0,1.0,Rockies,MT,BOZEMAN,"Townsquare License, LLC"
WEPN,night_2,6.509658264229074,WEPN_2_N_as1.kml,40.776666666666706,-74.0522222222222,1050.0,50.0,Northeast,NY,NEW YORK,"Good Karma Broadcasting, L.L.C."
WMRD,day_2,0.1473606782965362,WMRD_2_D_as1.kml,41.5572222222222,-72.6202777777778,1150.0,2.5,Northeast,CT,MIDDLETOWN,"CROSSROADS COMMUNICATIONS, LLC"
WGXI,day_0.5,1.1703019792912528,WGXI_0.5_D_as1.kml,43.7425,-87.9391666666667,1420.0,0.5,Great Lakes,WI,PLYMOUTH,"GALAXIE BROADCASTING, LLC"
KRUN,day_0.5,0.8163339282618836,KRUN_0.5_D_as3.kml,31.7252777777778,-99.9616666666667,1400.0,1.0,Gulf Coast,TX,BALLINGER,"Graham Brothers Communications, LLC"
WPIT,day_2,1.068173805368133,WPIT_2_D_as1.kml,40.4828333333333,-79.9917222222222,730.0,0.024,Great Lakes,PA,PITTSBURGH,SALEM COMMUNICATIONS HOLDING CORPORATION
WTXW,day_2,0.0763571101706475,WTXW_2_D_as1.kml,41.7652777777778,-76.4861111111111,1550.0,0.004,Great Lakes,PA,TOWANDA,"Radigan Broadcasting Group, LLC"
WTKS,day_2,3.8482579645933583,WTKS_2_D_as1.kml,32.0893611111111,-81.1459444444445,1290.0,5.3,Southeast,GA,SAVANNAH,"IHM LICENSES, LLC"
WHLS,day_2,0.5615779840154573,WHLS_2_D_as3.kml,42.9769444444445,-82.4644444444445,1450.0,1.0,Great Lakes,MI,PORT HURON,"LIGGETT COMMUNICATIONS, L.L.C."
WMPM,night_2,0.2583751669153571,WMPM_2_N_as1.kml,35.5258333333333,-78.3336111111111,1270.0,0.145,Southeast,NC,SMITHFIELD,Gorilla Broadcasting NC LLC
KCYL,night_2,0.20006857241969556,KCYL_2_N_as3.kml,31.0493333333333,-98.16975,1450.0,0.8,Gulf Coast,TX,LAMPASAS,
WWNB,night_2,0.12714305717963725,WWNB_2_N_as3.kml,35.1330555555556,-77.0655555555556,1490.0,1.0,Southeast,NC,NEW BERN,"CTC MEDIA GROUP, INC."
KLQR,night_2,1.1726083086105064,KLQR_2_N_as1.kml,38.165,-99.1013888888889,1510.0,0.5,Plains,KS,LARNED,"Ad Astra per Aspera Broadcasting, Inc."
KGFX,day_2,3.6054502602200955,KGFX_2_D_as1.kml,44.2866388888889,-100.33875,1060.0,1.0,Upper Midwest,SD,PIERRE,James River Broadcasting Company
WPHM,night_2,0.7137666338821873,WPHM_2_N_as1.kml,42.8638888888889,-82.4944444444444,1380.0,5.0,Great Lakes,MI,PORT HURON,"LIGGETT COMMUNICATIONS, L.L.C."
KUAZ,day_2,2.5417383085004985,KUAZ_2_D_as1.kml,32.0908333333333,-110.822222222222,1550.0,0.42,Southwest,AZ,TUCSON,ARIZONA BOARD OF REGENTS FOR BENEFIT OF THE UNIV. OF ARIZONA
WKRM,day_0.5,0.4192050021374598,WKRM_0.5_D_as3.kml,35.6105555555556,-87.0561111111111,1340.0,1.0,Mid-South,TN,COLUMBIA,"MIDDLE TENNESSEE BROADCASTING CO., INC."
WPWA,night_2,0.18187459523323923,WPWA_2_N_as1.kml,39.8776111111111,-75.4560277777778,1590.0,1.0,Great Lakes,PA,CHESTER,"MOUNT OCEAN MEDIA, L.L.C."
KAPR,night_2,0.6316639340948313,KAPR_2_N_as1.kml,31.369,-109.529777777778,930.0,0.071,Southwest,AZ,DOUGLAS,Redrock Media Group LLC
KBMS,day_2,0.12324738944880664,KBMS_2_D_as1.kml,45.6016666666667,-122.718333333333,1480.0,2.5,Pacific Northwest,WA,VANCOUVER,"Bennett Media Group, LLC"
WAUK,night_2,1.1716766053577885,WAUK_2_N_as1.kml,43.33333333333329,-88.1531388888889,540.0,0.4,Great Lakes,WI,JACKSON,"CIVIC MEDIA, INC."
KYPA,night_2,1.4975156299769878,KYPA_2_N_as1.kml,34.0855555555556,-118.257583333333,1230.0,1.0,California,CA,LOS ANGELES,"WOORI MEDIA GROUP, LLC"
WFMC,day_0.5,1.2508185665938072,WFMC_0.5_D_as1.kml,35.3737777777778,-78.0111111111111,730.0,0.094,Southeast,NC,GOLDSBORO,"NEW AGE COMMUNICATIONS, INC"
KMIA,night_2,0.9051031520357355,KMIA_2_N_as1.kml,47.3053888888889,-122.249277777778,1210.0,0.22,Pacific Northwest,WA,AUBURN-FEDERAL WAY,"BUSTOS MEDIA HOLDINGS, LLC"
WIND,day_2,3.90940052899532,WIND_2_D_as1.kml,41.565,-87.4197222222222,560.0,5.0,Great Lakes,IL,CHICAGO,"SALEM MEDIA OF ILLINOIS, LLC"
WYJV,day_0.5,0.9534280801890418,WYJV_0.5_D_as1.kml,35.9752777777778,-86.5544444444444,710.0,0.25,Mid-South,TN,SMYRNA,IGLESIA MISIONERA JESUCRISTO VIENE PRONTO INC.
WCHJ,day_2,0.1885394649580121,WCHJ_2_D_as1.kml,31.5629444444444,-90.4475833333333,1470.0,1.0,Gulf Coast,MS,BROOKHAVEN,"TILLMAN BROADCASTING NETWORK, INC."
WXNK,day_0.5,1.071388804120943,WXNK_0.5_D_as1.kml,45.6932777777778,-91.966,940.0,1.0,Great Lakes,WI,SHELL LAKE,"ZOE COMMUNICATIONS, INC."
KCRS,day_0.5,16.2154085629154,KCRS_0.5_D_as1.kml,32.0694444444445,-102.029444444444,550.0,5.0,Gulf Coast,TX,MIDLAND,"ICA RADIO, LTD."
WNVY,night_2,0.5049298671656288,WNVY_2_N_as1.kml,30.5799166666667,-87.2883055555556,1070.0,0.028,Southeast,FL,CANTONMENT,PENSACOLA RADIO CORPORATION
WMTN,day_2,0.14115772116929293,WMTN_2_D_as1.kml,36.2070277777778,-83.3329444444444,1300.0,0.096,Mid-South,TN,MORRISTOWN,RADIO ACQUISITION CORP.
WFBG,day_0.5,0.898379900958389,WFBG_0.5_D_as1.kml,40.4555555555556,-78.3972222222222,1290.0,0.018,Great Lakes,PA,ALTOONA,"Southern Belle Media Family, LLC"
WFXO,day_0.5,0.5538926892913878,WFXO_0.5_D_as1.kml,32.9509444444444,-85.98525,1050.0,0.048,Gulf Coast,AL,ALEXANDER CITY,"MARBLE CITY MEDIA, LLC"
WLPO,night_2,0.3613763463217765,WLPO_2_N_as1.kml,41.3038888888889,-89.0955555555556,1220.0,0.5,Great Lakes,IL,LASALLE,"STARVED ROCK MEDIA, INC."
KLAM,day_2,0.7078010432887822,KLAM_2_D_as3.kml,60.5388888888889,-145.759722222222,1450.0,0.25,Alaska,AK,CORDOVA,"BAYVIEW COMMUNICATIONS, INC."
WWSZ,night_2,0.03467469208408147,WWSZ_2_N_as1.kml,33.7869444444444,-84.2480555555556,1420.0,0.051,Southeast,GA,DECATUR,"JDJ COMMUNICATIONS, LLC"
KELY,day_0.5,0.3152346860151738,KELY_0.5_D_as3.kml,39.2625,-114.862777777778,1230.0,0.25,Southwest,NV,ELY,"Ely Radio, LLC"
WION,night_2,0.5145772714167833,WION_2_N_as1.kml,43.0044444444444,-85.0858333333333,1430.0,4.7,Great Lakes,MI,IONIA,"PACKER RADIO WION, LLC"
KDOK,night_2,0.34536514861974865,KDOK_2_N_as3.kml,32.4172222222222,-94.8541666666667,1240.0,1.0,Gulf Coast,TX,KILGORE,"CHALK HILL COMMUNICATIONS, LLC"
WMON,day_2,0.06255347584374249,WMON_2_D_as3.kml,38.1773333333333,-81.314,1340.0,1.0,Mid-Atlantic,WV,MONTGOMERY,"WKLC, Inc."
KCOL,night_2,2.5969506830442697,KCOL_2_N_as1.kml,40.6499722222222,-105.048027777778,600.0,5.0,Rockies,CO,WELLINGTON,"IHM LICENSES, LLC"
KQAQ,day_2,1.2816104447701946,KQAQ_2_D_as1.kml,43.7074722222222,-92.9460277777778,970.0,5.0,Upper Midwest,MN,AUSTIN,Real Presence Radio
WFRM,day_0.5,2.2573258583433926,WFRM_0.5_D_as1.kml,41.7530555555556,-78.0008333333333,600.0,1.0,Great Lakes,PA,COUDERSPORT,"L-COM, INC."
KPDQ,day_0.5,1.5893660495057702,KPDQ_0.5_D_as1.kml,45.4775,-122.750277777778,800.0,1.0,Pacific Northwest,OR,PORTLAND,"SALEM MEDIA OF OREGON, INC."
KIHP,day_2,0.9700827240012586,KIHP_2_D_as1.kml,33.362,-111.968194444444,1310.0,0.26,Southwest,AZ,MESA,"RELEVANT RADIO, INC."
WSM,day_0.5,12.666915010893717,WSM_0.5_D_as3.kml,35.9972777777778,-86.7922222222222,650.0,50.0,Mid-South,TN,NASHVILLE,"WSM-AM, LLC"
KRRS,day_2,1.2098295177565888,KRRS_2_D_as1.kml,38.3702777777778,-122.7275,1460.0,1.0,California,CA,SANTA ROSA,"Luna Foods, Inc."
WDRE,night_2,0.11988586618099362,WDRE_2_N_as1.kml,40.9133333333333,-72.6544444444445,1570.0,0.5,Northeast,NY,RIVERHEAD,JVC Media LLC
KAAN,night_2,1.3398425881750882,KAAN_2_N_as1.kml,40.25638888888889,-94.1563888888889,870.0,0.93,Mid-South,MO,BETHANY,Alpha Media Licensee LLC
WESC,night_2,0.553732419910375,WESC_2_N_as1.kml,34.8684444444444,-82.4679166666667,660.0,5.0,Southeast,SC,GREENVILLE,"IHM LICENSES, LLC"
WHUN,day_2,0.19454611197579652,WHUN_2_D_as1.kml,40.4550833333333,-77.9802777777778,1150.0,0.036,Great Lakes,PA,HUNTINGDON,"SOUTHERN BELLE, LLC"
KFAY,day_0.5,3.955061756190844,KFAY_0.5_D_as1.kml,36.1095277777778,-94.1838055555556,1030.0,1.0,Mid-South,AR,FARMINGTON,CUMULUS LICENSING LLC
KTIC,day_0.5,12.449286090908572,KTIC_0.5_D_as1.kml,41.78416666666671,-96.67975,840.0,5.0,Plains,NE,WEST POINT,NEBRASKA RURAL RADIO ASSOCIATION
WRHI,day_0.5,0.3811612836434506,WRHI_0.5_D_as3.kml,34.9831944444444,-81.0195277777778,1340.0,1.0,Southeast,SC,ROCK HILL,"OUR THREE SONS BROADCASTING, LLP"
KHTY,day_2,0.5630637343274429,KHTY_2_D_as1.kml,35.4499444444444,-118.947611111111,970.0,1.0,California,CA,BAKERSFIELD,"IHM LICENSES, LLC"
WXIT,day_0.5,0.6719018195290118,WXIT_0.5_D_as1.kml,36.2165277777778,-81.7015,1200.0,4.2,Southeast,NC,BLOWING ROCK,"HIGH COUNTRY ADVENTURES, LLC"
WKAR,night_2,1.9436503372853622,WKAR_2_N_as1.kml,42.706138888888894,-84.47525,870.0,10.0,Great Lakes,MI,EAST LANSING,"BOARD OF TRUSTEES, MICHIGAN STATE UNIVERSITY"
WWHM,day_0.5,0.4512235849397257,WWHM_0.5_D_as1.kml,33.9240555555556,-80.2864722222222,1290.0,1.0,Southeast,SC,SUMTER,"COMMUNITY BROADCASTERS, LLC"
WKRS,night_2,0.48404188663698733,WKRS_2_N_as1.kml,42.3497222222222,-87.8813888888889,1220.0,0.09,Great Lakes,IL,WAUKEGAN,Alpha Media Licensee LLC
WMBD,night_2,0.8317815286573023,WMBD_2_N_as1.kml,40.5728055555556,-89.5334444444444,1470.0,5.0,Great Lakes,IL,PEORIA,"MIDWEST COMMUNICATIONS, INC."
KRRP,night_2,0.5319763023871928,KRRP_2_N_as1.kml,31.9469444444444,-93.3369444444444,950.0,0.5,Gulf Coast,LA,COUSHATTA,"MARIA HOBBS, ADMINISTRATRIX OF ESTATE OF FRANK VAN DYKE HOBB"
KGAF,night_2,0.8043864358915016,KGAF_2_N_as1.kml,33.6287222222222,-97.1075,1580.0,0.28,Gulf Coast,TX,GAINESVILLE,"Eberhart Broadcasting, LLC"
KASO,night_2,0.6028433970641345,KASO_2_N_as3.kml,32.6305555555556,-93.2822222222222,1240.0,1.0,Gulf Coast,LA,MINDEN,"MINDEN BROADCASTING, LLC"
KYZS,night_2,0.2232849660795182,KYZS_2_N_as1.kml,32.3751944444444,-95.2697222222222,1490.0,1.0,Gulf Coast,TX,TYLER,"Chalk Hill Communications, LLC"
KSGT,day_0.5,0.22413725638762116,KSGT_0.5_D_as1.kml,43.4625,-110.793611111111,1340.0,1.0,Rockies,WY,JACKSON,"JACKSON HOLE RADIO, LLC"
WTCW,day_2,0.2816693091299385,WTCW_2_D_as1.kml,37.1462222222222,-82.7668333333333,920.0,0.043,Mid-South,KY,WHITESBURG,"T.C.W. BROADCASTING , INC."
KFIV,day_2,1.0237345001660287,KFIV_2_D_as1.kml,37.6896388888889,-120.954388888889,1360.0,4.0,California,CA,MODESTO,"IHM LICENSES, LLC"
WDYZ,day_0.5,2.7390542404609732,WDYZ_0.5_D_as1.kml,28.6933333333333,-81.3489444444444,660.0,3.5,Southeast,FL,ALTAMONTE SPRINGS,Norsan Media LLC
KMJM,night_2,0.21031744440551847,KMJM_2_N_as1.kml,41.9244444444444,-91.6152777777778,1360.0,1.0,Plains,IA,CEDAR RAPIDS,"IHM LICENSES, LLC"
WFTL,day_2,10.796922800363973,WFTL_2_D_as1.kml,26.5420277777778,-80.7414444444444,850.0,20.0,Southeast,FL,WEST PALM BEACH,"WPB FCC LICENSE SUB, LLC"
WCKI,night_2,0.06844844669103622,WCKI_2_N_as1.kml,34.9275,-82.2616666666667,1300.0,0.094,Southeast,SC,GREER,"MEDIATRIX SC, INC."
WHBL,day_2,1.0511888064211234,WHBL_2_D_as1.kml,43.7205555555556,-87.7344444444445,1330.0,5.0,Great Lakes,WI,SHEBOYGAN,"MIDWEST COMMUNICATIONS, INC."
WZRC,night_2,0.5624677976593375,WZRC_2_N_as1.kml,40.8451111111111,-74.0195833333333,1480.0,5.0,Northeast,NY,NEW YORK,"MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC"
WDCY,night_2,0.07458628475433215,WDCY_2_N_as1.kml,33.7637222222222,-84.6891111111111,1520.0,2.7,Southeast,GA,DOUGLASVILLE,WORD CHRISTIAN BROADCASTING INC.
KHND,night_2,1.1369022665312514,KHND_2_N_as1.kml,47.75638888888889,-99.9183333333333,1470.0,0.161,Upper Midwest,ND,HARVEY,"THREE WAY BROADCASTING, INC."
WXJO,night_2,0.08793242345564067,WXJO_2_N_as1.kml,33.7633333333333,-84.7411111111111,1120.0,1.0,Southeast,GA,DOUGLASVILLE,Condrey Media LLC
WIRV,night_2,0.2017524930415675,WIRV_2_N_as1.kml,37.71583333333329,-83.9747222222222,1550.0,0.005,Mid-South,KY,IRVINE,"KENTUCKY RIVER BROADCASTING CO., INC"
WRJD,day_2,0.18054254323942587,WRJD_2_D_as1.kml,36.0290277777778,-78.8497222222222,1410.0,5.0,Southeast,NC,DURHAM,TRUTH BROADCASTING CORPORATION
WGOH,night_2,0.1529755850788206,WGOH_2_N_as1.kml,38.3289722222222,-82.9757222222222,1370.0,5.0,Mid-South,KY,GRAYSON,"CARTER COUNTY BROADCASTING CO., INC."
KCAA,night_2,0.29706388316117227,KCAA_2_N_as1.kml,33.9894722222222,-117.186972222222,1050.0,1.4,California,CA,LOMA LINDA,"BROADCASTING MANAGEMENT SERVICES, INC"
KGLE,day_0.5,7.079277774784714,KGLE_0.5_D_as1.kml,47.0972222222222,-104.785833333333,590.0,0.111,Rockies,MT,GLENDIVE,"Hi-Line Radio Fellowship, Inc."
KOKA,night_2,1.4221129041397944,KOKA_2_N_as1.kml,32.52625,-93.8221111111111,980.0,5.0,Gulf Coast,LA,SHREVEPORT,Alpha Media Licensee LLC
WKXO,night_2,0.12167936842888594,WKXO_2_N_as1.kml,37.5866666666667,-84.3011111111111,1500.0,0.25,Mid-South,KY,BEREA,"WALLINGFORD COMMUNICATIONS, LLC"
WLSQ,day_2,0.1527801622869447,WLSQ_2_D_as1.kml,34.0348888888889,-78.8825277777778,1240.0,1.0,Southeast,SC,LORIS,"Byrne Acquisition Group, LLC"
WGKA,day_2,0.489202675584238,WGKA_2_D_as1.kml,33.8098333333333,-84.3563055555556,920.0,14.0,Southeast,GA,ATLANTA,SALEM COMMUNICATIONS HOLDING CORPORATION
KZZB,day_2,1.5362278102547862,KZZB_2_D_as3.kml,30.1491666666667,-94.1330555555555,990.0,1.0,Gulf Coast,TX,BEAUMONT,"MARTIN BROADCASTING, INC."
WTAN,night_2,1.8588454031269066,WTAN_2_N_as1.kml,27.9728055555556,-82.7965,1340.0,1.0,Southeast,FL,CLEARWATER,RADIO WORLD INC.
WSKN,day_0.5,14.480452400632203,WSKN_0.5_D_as1.kml,18.3833333333333,-66.0669444444445,1320.0,5.0,Unknown,PR,SAN JUAN,"MEDIA POWER GROUP, INC."
KFNX,day_0.5,8.367030016728677,KFNX_0.5_D_as1.kml,33.7978055555556,-111.992361111111,1100.0,50.0,Southwest,AZ,CAVE CREEK,"FUTURES AND OPTIONS, INC."
KSIX,day_2,1.9027917209314182,KSIX_2_D_as1.kml,27.7838888888889,-97.4575,1230.0,0.72,Gulf Coast,TX,CORPUS CHRISTI,"Dynamic Media, LLC"
WBWX,day_0.5,0.3523162701167166,WBWX_0.5_D_as1.kml,41.0789722222222,-76.2593888888889,1280.0,1.0,Great Lakes,PA,BERWICK,"Southern Belle, LLC"
KIOL,day_0.5,1.3881759117357433,KIOL_0.5_D_as1.kml,37.9019444444444,-95.4072222222222,1370.0,0.5,Plains,KS,IOLA,"Ad Astra per Aspera Broadcasting, Inc."
KLCL,day_0.5,6.972231669118628,KLCL_0.5_D_as1.kml,30.2586111111111,-93.2686111111111,1470.0,5.0,Gulf Coast,LA,LAKE CHARLES,"Townsquare License, LLC"
KBRH,day_0.5,1.9649559675017372,KBRH_0.5_D_as1.kml,30.46075,-91.2437222222222,1260.0,5.0,Gulf Coast,LA,BATON ROUGE,EAST BATON ROUGE PARISH SCHOOL BOARD
KTNN,night_2,8.532979661598802,KTNN_2_N_as1.kml,35.895,-109.141388888889,660.0,50.0,Southwest,AZ,WINDOW ROCK,The Navajo Nation
KWSL,day_2,0.771167021128349,KWSL_2_D_as1.kml,42.4119444444444,-96.4269722222222,1470.0,2.3,Plains,IA,SIOUX CITY,"IHM LICENSES, LLC"
WRPN,day_2,0.391855476773344,WRPN_2_D_as1.kml,43.8169444444444,-88.8469444444445,1600.0,5.0,Great Lakes,WI,RIPON,"HOMETOWN BROADCASTING, LLC"
WLIS,day_0.5,8.93222769536078,WLIS_0.5_D_as1.kml,41.3272222222222,-72.3891666666667,1420.0,0.5,Northeast,CT,OLD SAYBROOK,"CROSSROADS COMMUNICATIONS OF OLD SAYBROOK, LLC"
KVNU,day_0.5,15.655424325610511,KVNU_0.5_D_as1.kml,41.6749444444444,-111.935777777778,610.0,1.0,Rockies,UT,LOGAN,"SUN VALLEY RADIO, INC."
WCAB,night_2,0.3428016231046058,WCAB_2_N_as1.kml,35.3931666666667,-81.9228888888889,590.0,0.228,Southeast,NC,RUTHERFORDTON,"SIGNAL HILL MEDIA PARTNERS, LLC"
WKST,day_0.5,1.6411564741283655,WKST_0.5_D_as1.kml,40.9539444444444,-80.3178333333333,1280.0,4.9,Great Lakes,PA,NEW CASTLE,"Southern Belle Media Family, LLC"
WHYL,day_2,0.2700928661506623,WHYL_2_D_as1.kml,40.1928611111111,-77.1741388888889,960.0,0.022,Great Lakes,PA,CARLISLE,"WHYL, INC."
WJZ,day_2,0.3358938661403954,WJZ_2_D_as1.kml,39.3334444444444,-76.7699722222222,1300.0,5.0,Mid-Atlantic,MD,BALTIMORE,"Audacy License, LLC"
WAEC,day_0.5,0.841759400209412,WAEC_0.5_D_as1.kml,33.7292777777778,-84.3218611111111,860.0,5.0,Southeast,GA,ATLANTA,"BEASLEY MEDIA GROUP LICENSES, LLC"
KSAH,day_0.5,15.922307479311712,KSAH_0.5_D_as1.kml,29.5308333333333,-98.1775,720.0,10.0,Gulf Coast,TX,UNIVERSAL CITY,Alpha Media Licensee LLC
KION,night_2,8.26019706192892,KION_2_N_as1.kml,36.7330555555556,-121.592222222222,1460.0,10.0,California,CA,SALINAS,"IHM LICENSES, LLC"
KQDJ,night_2,1.2338988417759538,KQDJ_2_N_as3.kml,46.8936111111111,-98.6888888888889,1400.0,1.0,Upper Midwest,ND,JAMESTOWN,"I3G MEDIA, INC."
WITY,day_2,0.46110279904678464,WITY_2_D_as3.kml,40.0780833333333,-87.6389166666667,980.0,1.0,Great Lakes,IL,DANVILLE,"Illiana Media, LLC"
WCLE,night_2,0.19786220148671418,WCLE_2_N_as1.kml,35.1819444444444,-84.8486111111111,1570.0,0.084,Mid-South,TN,CLEVELAND,"HARTLINE, LLC"
WMGJ,day_2,0.1749631151324138,WMGJ_2_D_as3.kml,34.0011111111111,-86.03,1240.0,1.0,Gulf Coast,AL,GADSDEN,FLOYD L. DONALD BROADCASTING CO. INC
WNVR,day_2,1.437274145311676,WNVR_2_D_as1.kml,42.2527777777778,-88.3958333333333,1030.0,0.12,Great Lakes,IL,VERNON HILLS,"POLNET COMMUNICATIONS, LTD."
KSBN,day_2,0.15841238747816533,KSBN_2_D_as3.kml,47.6583333333333,-117.418888888889,1230.0,1.0,Pacific Northwest,WA,SPOKANE,"KSBN Radio, Inc."
WZGX,night_2,0.103315090527758,WZGX_2_N_as3.kml,33.4230555555556,-86.9547222222222,1450.0,1.0,Gulf Coast,AL,BESSEMER,"Autaugaville Radio, Inc."
KUAI,day_2,2.829605985665694,KUAI_2_D_as1.kml,21.9919444444444,-159.405833333333,570.0,1.0,Hawaii,HI,ELEELE,"PACIFIC RADIO GROUP, INC."
KDKA,day_2,1.9654810492647812,KDKA_2_D_as3.kml,40.5592222222222,-79.9528333333333,1020.0,50.0,Great Lakes,PA,PITTSBURGH,"Audacy License, LLC"
KTRW,night_2,0.6171472384594381,KTRW_2_N_as1.kml,47.6085,-117.374666666667,630.0,0.053,Pacific Northwest,WA,OPPORTUNITY,"MUTUAL BROADCASTING SYSTEM, LLC"
KCVL,night_2,0.19788915570825338,KCVL_2_N_as3.kml,48.52083333333329,-117.907777777778,1240.0,1.0,Pacific Northwest,WA,COLVILLE,NORTH COUNTRY BROADCASTING
WHIN,night_2,0.5132746226154268,WHIN_2_N_as1.kml,36.4333333333333,-86.4666666666667,1010.0,0.047,Mid-South,TN,GALLATIN,BRAYDEN MADISON BROADCASTING L.L.C.
KKOJ,day_0.5,5.111063000513241,KKOJ_0.5_D_as1.kml,43.5291388888889,-95.0016666666667,1190.0,5.0,Upper Midwest,MN,JACKSON,"COMMUNITY FIRST BROADCASTING, LLC"
WUNN,day_2,0.38636174565181136,WUNN_2_D_as1.kml,42.5518611111111,-84.40525,1110.0,1.0,Great Lakes,MI,MASON,Intentional Life Media
KSIR,day_2,2.764733137562871,KSIR_2_D_as1.kml,40.3138611111111,-103.592166666667,1010.0,25.0,Rockies,CO,BRUSH,NORTHEAST COLORADO BROADCASTING LLC
KCKX,day_0.5,0.40629815915599465,KCKX_0.5_D_as1.kml,44.8027777777778,-122.734166666667,1460.0,1.0,Pacific Northwest,OR,STAYTON,Iglesia Pentecostal Vispera del Fin
WSYD,day_2,0.14628404297400266,WSYD_2_D_as1.kml,36.5033333333333,-80.5930555555556,1300.0,1.0,Southeast,NC,MOUNT AIRY,"GRANITE CITY BROADCASTING, INC."
KRIZ,day_0.5,0.5190433183452114,KRIZ_0.5_D_as1.kml,47.4402777777778,-122.2025,1420.0,1.0,Pacific Northwest,WA,RENTON,"Bennett Media Group, LLC"
WABF,day_0.5,2.9634435229818337,WABF_0.5_D_as1.kml,30.7199166666667,-88.0711111111111,1480.0,4.4,Gulf Coast,AL,MOBILE,"ETERNITY MEDIA GROUP WABF,  LLC"
WJJT,day_2,0.049610470654442906,WJJT_2_D_as1.kml,36.5831388888889,-84.1360277777778,1540.0,1.0,Mid-South,TN,JELLICO,SOUTHEAST BROADCAST CORPORATION
KSIS,night_2,0.8709016985958442,KSIS_2_N_as1.kml,38.7341944444445,-93.2254722222222,1050.0,0.086,Mid-South,MO,SEDALIA,"Townsquare License, LLC"
KAGI,night_2,0.660031852312386,KAGI_2_N_as1.kml,42.4376111111111,-123.358666666667,930.0,0.123,Pacific Northwest,OR,GRANTS PASS,SOUTHERN OREGON UNIVERSITY
WALG,night_2,0.18415180750889704,WALG_2_N_as1.kml,31.621,-84.1529722222222,1590.0,3.3,Southeast,GA,ALBANY,"FIRST MEDIA SERVICES, LLC"
KGND,day_2,0.31710291316267103,KGND_2_D_as1.kml,36.64591666666671,-95.1263611111111,1470.0,0.5,Plains,OK,VINITA,"KXOJ, INC."
KIBL,night_2,0.6180523629300296,KIBL_2_N_as3.kml,28.3855555555556,-97.7283333333333,1490.0,1.0,Gulf Coast,TX,BEEVILLE,"RUFUS RESOURCES, LLC"
KGBN,day_0.5,28.67971169273369,KGBN_0.5_D_as1.kml,33.945,-117.863111111111,1190.0,1.3,California,CA,ANAHEIM,KOREAN GOSPEL BROADCASTING NETWORK
WDEK,night_2,0.24038216972257942,WDEK_2_N_as1.kml,33.97375,-81.1495277777778,1170.0,10.0,Southeast,SC,LEXINGTON,The Meeting Place Church of Greater Columbia
WTOU,day_2,0.14453636319376528,WTOU_2_D_as1.kml,,,,,Unknown,,,
KUNX,day_0.5,6.588916044100188,KUNX_0.5_D_as3.kml,34.33,-119.091944444444,1400.0,1.0,California,CA,SANTA PAULA,GOLD COAST BROADCASTING LLC
WJCW,day_2,0.6206675989087671,WJCW_2_D_as1.kml,36.4102777777778,-82.4536111111111,910.0,1.0,Mid-South,TN,JOHNSON CITY,"RADIO LICENSE HOLDING CBC, LLC"
WSHY,day_2,0.15446123224683106,WSHY_2_D_as1.kml,40.3616944444444,-86.8780555555556,1410.0,0.029,Great Lakes,IN,LAFAYETTE,CTI License LLC
WCKA,night_2,1.2806218978366815,WCKA_2_N_as1.kml,33.8494444444444,-85.7627777777778,810.0,0.5,Gulf Coast,AL,JACKSONVILLE,"ALABAMA 810, LLC"
WCBM,day_2,2.2034312658943236,WCBM_2_D_as1.kml,39.3742777777778,-76.85775,680.0,50.0,Mid-Atlantic,MD,BALTIMORE,"WCBM MARYLAND, INC."
KICD,night_2,1.5256126578897238,KICD_2_N_as3.kml,43.1658333333333,-95.1461111111111,1240.0,1.0,Plains,IA,SPENCER,"SAGA COMMUNICATIONS OF IOWA, LLC"
WIMA,day_2,0.6750949214911088,WIMA_2_D_as1.kml,40.6797777777778,-84.1093888888889,1150.0,1.0,Great Lakes,OH,LIMA,"IHM LICENSES, LLC"
WRKL,night_2,0.28740305337123573,WRKL_2_N_as1.kml,41.1811944444444,-74.0476388888889,910.0,0.8,Northeast,NY,NEW CITY,"Cantico Nuevo Ministry, Inc."
KGMT,day_0.5,1.6810653979191557,KGMT_0.5_D_as1.kml,40.1161111111111,-97.1513888888889,1310.0,0.095,Plains,NE,FAIRBURY,"FLOOD COMMUNICATIONS OF BEATRICE, LLC"
